feature_name,importance
Chi1n,0.0062427482102448304
BertzCT,0.005139871813826984
MolWt,0.004983996730533768
Chi1,0.004791909826992421
Chi0v,0.0044510582411367225
Chi3v,0.004002510643960771
EState_VSA1,0.003918617434963545
Chi2v,0.0037237132354619755
Chi0n,0.0037062871781064818
ExactMolWt,0.0036677002099689887
Chi4n,0.003431258154820969
NumValenceElectrons,0.0033817445495224192
N;3;2;1;0;0-C;4;3;0;1;1-9.5,0.0032972637669628937
HeavyAtomMolWt,0.003055154117755743
MolMR,0.0029368457007053223
Chi4v,0.002927041617107108
Chi0,0.0029028825082964907
PEOE_VSA14,0.002885471612628867
SMR_VSA7,0.0028664300124305194
VSA_EState1,0.0027730618152558223
Chi2n,0.0026261182025740055
MolLogP,0.002617199099078785
O;2;1;0;0;0-C;4;3;0;1;1-8.5,0.002550226783318895
C;4;3;1;0;0-C;4;2;1;1;1-9.5,0.0024682096068846322
VSA_EState6,0.002428583138273857
O;2;1;0;0;0-C;4;2;1;1;1-9.5,0.0024162782770466894
C;4;3;1;0;0-C;4;3;0;1;1-10.0,0.002398279788648782
LabuteASA,0.002353127723866008
Kappa2,0.0023239303690766773
O;2;1;0;0;0-C;4;3;0;1;1-7.5,0.0023034582380263807
N;3;2;1;0;0-C;4;3;0;1;1-10.0,0.0022615958340376297
HeavyAtomCount,0.0022588828423110874
C;4;2;2;0;0-C;4;3;0;1;1-10.0,0.0022396980004532044
C;4;3;0;0;0-C;4;3;0;1;1-9.5,0.002231657696242575
Chi1v,0.002229640207680776
N;3;2;1;0;0-C;4;2;1;1;1-8.5,0.002127349030666947
EState_VSA9,0.002110059155207172
MaxEStateIndex,0.0020466067509293776
C;4;1;3;0;0-C;4;3;0;1;1-5.5,0.002029030551086334
C;4;3;1;0;0-C;4;3;0;1;1-9.5,0.00201951551243247
Chi3n,0.001998160569515379
O;2;1;0;0;0-C;4;3;0;1;1-9.5,0.0019810195805797497
TPSA,0.001970697502111302
RingCount,0.0019421620854302136
C;4;2;2;0;0-C;4;3;0;1;1-7.5,0.0018926713644208735
Kappa1,0.0018876194949033294
C;4;2;2;0;0-C;4;2;1;1;1-10.0,0.0018676326282076124
SMR_VSA1,0.0018654463780373278
SlogP_VSA4,0.0018476840684160415
C;4;3;1;0;0-C;4;2;1;1;1-8.5,0.0018339435703782394
SlogP_VSA5,0.0018021628966234922
C;4;3;0;0;0-C;4;2;1;1;1-8.5,0.0017644085840842249
C;4;3;0;0;0-C;4;2;1;1;1-9.5,0.0017584955169892848
MaxAbsEStateIndex,0.0017554134340858158
Kappa3,0.0017083560867986688
O;2;1;0;0;0-C;4;2;1;1;1-8.5,0.001671340083931549
O;2;1;0;0;0-S;6;4;0;0;0-10.0,0.0016490208887984838
N;3;2;1;0;0-C;4;3;0;1;1-7.5,0.001645957500297435
BalabanJ,0.0016397541198491241
C;5;3;0;0;0-C;4;2;1;1;1-9.5,0.0016259120122357794
C;4;2;2;0;0-C;4;3;0;1;1-8.5,0.0016049510019276229
MinEStateIndex,0.0015975000903039934
NumHeteroatoms,0.0015721218879782425
C;4;2;1;1;1-C;4;3;0;1;1-9.5,0.001570201608324486
C;4;3;0;0;0-S;6;4;0;0;0-9.5,0.0015479069640258374
C;4;2;2;0;0-C;4;3;0;1;1-9.5,0.0015347820429842556
C;5;3;0;0;0-C;4;2;1;1;1-8.5,0.0014953083089452055
C;4;1;3;0;0-C;4;3;0;1;1-9.5,0.0014678187930381266
O;2;1;0;0;0-C;4;2;1;1;1-10.0,0.001466198868255448
C;4;1;3;0;0-C;4;3;0;1;1-4.5,0.001452009022201728
NOCount,0.0014477062285498444
N;3;2;1;0;0-C;4;3;0;1;1-8.5,0.0014294141209338417
C;4;2;2;0;0-C;4;2;1;1;1-9.5,0.0014109608150010234
NumAromaticRings,0.0014059545184107198
N;3;3;0;0;1-S;6;4;0;0;0-9.5,0.0013943202612277145
O;2;1;0;0;0-C;4;3;0;1;1-10.0,0.0013863835687548355
O;2;1;0;0;0-C;4;2;1;1;1-7.5,0.0013619574913818684
VSA_EState5,0.0013528395255127056
C;4;2;1;1;1-C;4;2;1;1;1-9.5,0.0013513040628983833
SlogP_VSA2,0.0013353998933188557
C;4;2;1;1;1-C;4;2;1;1;1-8.5,0.0013196132956492322
fr_N_O,0.0013013860539433325
N;3;2;1;0;0-C;4;2;1;1;1-7.5,0.0012849500664385554
N;3;2;1;0;0-C;4;3;0;1;1-6.5,0.0012748008807515175
C;4;3;1;0;0-C;4;3;0;1;1-8.5,0.0012576331775544052
C;4;3;0;0;0-C;4;3;0;0;1-9.5,0.0012492242843121278
C;4;2;2;0;0-C;4;2;1;1;1-7.5,0.0012441564611399
EState_VSA8,0.0012251903208113236
C;4;3;1;0;0-S;6;4;0;0;0-10.0,0.0012197019385114074
SMR_VSA4,0.0012182282088893158
SMR_VSA3,0.0012009178625660608
C;4;3;0;0;0-S;6;4;0;0;0-6.5,0.0011600048191909437
C;4;3;0;0;0-C;4;3;0;1;1-6.5,0.0011536608947003925
FractionCSP3,0.001152347658234455
O;2;1;0;0;0-C;4;2;1;1;1-6.5,0.00115230777372765
C;4;3;1;0;0-C;4;2;1;1;1-5.5,0.001151889641627623
C;4;3;0;0;0-C;4;3;0;1;1-8.5,0.001139704724914326
C;5;3;0;0;0-C;4;2;1;1;1-7.5,0.0011332393001787027
NHOHCount,0.0011285375318929765
C;4;2;2;0;0-C;4;2;1;1;1-4.5,0.001127912040812153
C;4;2;1;1;1-C;4;3;0;1;1-10.0,0.0011266858654055648
C;4;3;0;0;0-C;4;2;2;0;1-10.0,0.0011232417419058732
C;4;3;1;0;0-C;4;2;1;1;1-6.5,0.0011225313806300457
VSA_EState4,0.0011135042793202323
C;4;3;0;0;0-C;4;3;0;1;1-10.0,0.0011129777996838073
