threshold,seed,pcc,rmse
4.0,0,0.8366943173188469,1.2794666979718632
4.0,1,0.8354593170325163,1.279966077558259
4.0,2,0.8337522239400419,1.279777064960399
4.0,3,0.8336601945941812,1.2838105236356077
4.0,4,0.8354539748855597,1.2794191040549328
4.0,5,0.8372651968717265,1.275857915762015
4.0,6,0.8342585651065112,1.2803295332363
4.0,7,0.8377135732199517,1.2733458114167833
4.0,8,0.8336984376876101,1.278844749142678
4.0,9,0.8328533144492977,1.2843738983751216
4.0,10,0.8389991906194455,1.2721218571527269
4.0,11,0.8341235548161493,1.28362948572175
4.0,12,0.8377114107574611,1.2751852989084176
4.0,13,0.8367431792435926,1.2750499122652235
4.0,14,0.8380071400702319,1.2724742954335337
4.0,15,0.8382549684646277,1.2732487794616092
4.0,16,0.8360051737488768,1.281554005692577
4.0,17,0.8360359719494754,1.2770932681695613
4.0,18,0.838322088493054,1.2744400764368147
4.0,19,0.8386299422018464,1.272239627161685
4.0,20,0.8314167312293065,1.2868644127753615
4.0,21,0.8403647660832807,1.2660068991316613
4.0,22,0.8342963713307608,1.2836612900872837
4.0,23,0.8364383655677591,1.2804581062573035
4.0,24,0.8391554997459227,1.2728295346028968
4.0,25,0.8375144092767328,1.2784355925050943
4.0,26,0.8346212987238755,1.2782480665002527
4.0,27,0.8359851291177293,1.2780476941933339
4.0,28,0.8364315388638894,1.2757467081039984
4.0,29,0.8376342293980623,1.276063260451119
4.0,30,0.8388101473868362,1.2695927757257393
4.0,31,0.8344075660587286,1.2814543179525948
4.0,32,0.8351056424103326,1.282183292482074
4.0,33,0.836636650189234,1.2759842485961914
4.0,34,0.836672471898828,1.2775662067259983
4.0,35,0.8348465677969827,1.2822233057103707
4.0,36,0.8354379990585319,1.278939344789525
4.0,37,0.8369027046652339,1.2752412845697512
4.0,38,0.8354402676534389,1.280444746678068
4.0,39,0.8369845592290978,1.2757864212276666
4.0,40,0.8343968691342182,1.2829059893771064
4.0,41,0.8335194161582534,1.2830026998745026
4.0,42,0.8364023932801344,1.279198234226649
4.0,43,0.8370993610624607,1.274739808537514
4.0,44,0.8351935963515873,1.2791818119195364
4.0,45,0.8358055179647809,1.2785671769662839
4.0,46,0.8361648083258414,1.2762203893766428
4.0,47,0.8369265063799175,1.277072910127147
4.0,48,0.8380404226295266,1.2751224445725913
