threshold,step,seed,pcc,rmse
6.0,0.5,0,0.8568936872621168,1.2162378384700494
6.0,0.5,1,0.8575095210216502,1.2157475806441256
6.0,0.5,2,0.8562615667849198,1.2175001661771503
6.0,0.5,3,0.8564708786701188,1.216935361740141
6.0,0.5,4,0.8578146626848197,1.2147516325086856
6.0,0.5,5,0.8588198424932335,1.2100401643454162
6.0,0.5,6,0.8606667130346136,1.2054838233613254
6.0,0.5,7,0.8607500618266554,1.2054583509402343
6.0,0.5,8,0.8564673053995298,1.2191361927956932
6.0,0.5,9,0.8568400592576468,1.2128643047749996
6.0,0.5,10,0.855978985220999,1.217296290560655
6.0,0.5,11,0.8632377558792007,1.1965069466453677
6.0,0.5,12,0.8587384309832576,1.2082645935159857
6.0,0.5,13,0.858738529691782,1.2095934896331917
6.0,0.5,14,0.8561799020044325,1.2181751570215245
6.0,0.5,15,0.858099056533957,1.2146101218184582
6.0,0.5,16,0.8589616030641305,1.2104820986681366
6.0,0.5,17,0.8595138632271305,1.2085108489952963
6.0,0.5,18,0.857169439328251,1.2160628663451452
6.0,0.5,19,0.8554759703122118,1.2231476687156988
6.0,0.5,20,0.8592175352758874,1.2092014533096374
6.0,0.5,21,0.8601046924506904,1.2073309660284524
6.0,0.5,22,0.8606463336207549,1.2038075188377453
6.0,0.5,23,0.8582960419000814,1.2125091137001491
6.0,0.5,24,0.8613870442718745,1.204739460956706
6.0,0.5,25,0.8595885156104865,1.2107773798855002
6.0,0.5,26,0.859100527616059,1.2091133955307418
6.0,0.5,27,0.8563534269512973,1.2176367920427498
6.0,0.5,28,0.8566970452189328,1.2192339129674563
6.0,0.5,29,0.8589148284561461,1.21260464291271
6.0,0.5,30,0.8578186952200981,1.21665690582327
6.0,0.5,31,0.861301009941856,1.2043193605296494
6.0,0.5,32,0.8557261463054325,1.2191082459143163
6.0,0.5,33,0.8586743518551014,1.2120428471074867
6.0,0.5,34,0.8575526872101215,1.2155190669518028
6.0,0.5,35,0.8590123718647449,1.2164916252375473
6.0,0.5,36,0.8572374728773604,1.2202721830904724
6.0,0.5,37,0.8569892347643944,1.2166156178105598
6.0,0.5,38,0.8573813053560356,1.2122498267954926
6.0,0.5,39,0.8585177812153686,1.2143039958374486
6.0,0.5,40,0.8574993438405212,1.2172198320555165
6.0,0.5,41,0.8593560584285753,1.2116928355416412
6.0,0.5,42,0.8591947487221201,1.209215245703823
6.0,0.5,43,0.8540390734594742,1.2244981818866791
6.0,0.5,44,0.8600172882551178,1.2115994825679366
6.0,0.5,45,0.856079710848285,1.2185824845164648
6.0,0.5,46,0.8569966032403917,1.2180635076621253
6.0,0.5,47,0.8570609839536445,1.2161905839817075
6.0,0.5,48,0.8588261454766499,1.2108975072042163
6.0,0.5,49,0.8596984240676613,1.2084323969515731
6.0,0.5,50,0.8596157133307992,1.210084192027704
6.0,0.5,51,0.8595606305584822,1.2105030482559231
6.0,0.5,52,0.8572716724733775,1.2168612717941256
6.0,0.5,53,0.857012392149316,1.2174743268141444
6.0,0.5,54,0.8620837228698203,1.2046781982967456
6.0,0.5,55,0.8592780362793333,1.2118230482113774
6.0,0.5,56,0.8554533978676107,1.218394828346442
6.0,0.5,57,0.8586898362060462,1.2133917391986355
